pit_id,entry_id,lap,stint_from,stint_to,stationary_time_s,errors,error_time_s
2018_AUS_RED BU_TSU_02,2018_AUS_RED BU_TSU,37,M,M,18.765,False,0.0
2018_AUS_RED BU_TSU_03,2018_AUS_RED BU_TSU,60,M,S,16.569,False,0.0
2018_AUS_RED BU_HUL_01,2018_AUS_RED BU_HUL,14,H,H,20.299,False,0.0
2018_AUS_RED BU_HUL_02,2018_AUS_RED BU_HUL,60,H,H,15.367,False,0.0
2018_AUS_RED BU_BOT_01,2018_AUS_RED BU_BOT,14,M,M,18.482,False,0.0
2018_AUS_RED BU_MAG_01,2018_AUS_RED BU_MAG,14,H,H,13.546,True,2.098
2018_AUS_RED BU_ZHO_01,2018_AUS_RED BU_ZHO,14,H,H,19.376,True,4.029
2018_AUS_RED BU_ZHO_02,2018_AUS_RED BU_ZHO,60,H,H,19.285,False,0.0
2018_AUS_RED BU_SAR_01,2018_AUS_RED BU_SAR,14,S,M,22.639,False,0.0
2018_AUS_RED BU_LAW_01,2018_AUS_RED BU_LAW,14,M,H,19.189,False,0.0
2018_AUS_RED BU_LAW_02,2018_AUS_RED BU_LAW,60,M,S,16.586,False,0.0
2018_AZE_BAKU_VER_01,2018_AZE_BAKU_VER,10,S,S,15.856,False,0.0
2018_AZE_BAKU_VER_02,2018_AZE_BAKU_VER,43,S,M,16.255,False,0.0
2018_AZE_BAKU_PER_01,2018_AZE_BAKU_PER,10,M,H,17.217,False,0.0
2018_AZE_BAKU_PER_02,2018_AZE_BAKU_PER,26,S,M,19.797,False,0.0
2018_AZE_BAKU_PER_03,2018_AZE_BAKU_PER,43,S,H,20.707,False,0.0
2018_AZE_BAKU_HAM_01,2018_AZE_BAKU_HAM,10,S,H,17.959,False,0.0
2018_AZE_BAKU_HAM_02,2018_AZE_BAKU_HAM,26,H,M,21.231,False,0.0
2018_AZE_BAKU_HAM_03,2018_AZE_BAKU_HAM,43,H,S,16.664,False,0.0
2018_AZE_BAKU_RUS_01,2018_AZE_BAKU_RUS,10,S,H,17.706,False,0.0
2018_AZE_BAKU_RUS_02,2018_AZE_BAKU_RUS,26,M,H,18.616,False,0.0
2018_AZE_BAKU_RUS_03,2018_AZE_BAKU_RUS,43,H,M,18.452,False,0.0
2018_AZE_BAKU_LEC_01,2018_AZE_BAKU_LEC,10,S,S,15.39,False,0.0
2018_AZE_BAKU_LEC_02,2018_AZE_BAKU_LEC,43,H,S,16.017,False,0.0
2018_AZE_BAKU_SAI_01,2018_AZE_BAKU_SAI,10,S,S,13.393,False,0.0
2018_AZE_BAKU_SAI_02,2018_AZE_BAKU_SAI,26,S,S,11.83,False,0.0
2018_AZE_BAKU_SAI_03,2018_AZE_BAKU_SAI,43,H,M,17.882,False,0.0
2018_AZE_BAKU_NOR_01,2018_AZE_BAKU_NOR,10,M,S,23.084,False,0.0
2018_AZE_BAKU_NOR_02,2018_AZE_BAKU_NOR,26,S,H,27.167,False,0.0
2018_AZE_BAKU_NOR_03,2018_AZE_BAKU_NOR,43,M,H,25.503,True,6.5
2018_AZE_BAKU_PIA_01,2018_AZE_BAKU_PIA,10,M,H,20.874,False,0.0
2018_AZE_BAKU_PIA_02,2018_AZE_BAKU_PIA,43,S,M,23.75,False,0.0
2018_AZE_BAKU_ALO_01,2018_AZE_BAKU_ALO,10,S,M,9.215,False,0.0
2018_AZE_BAKU_ALO_02,2018_AZE_BAKU_ALO,26,S,H,18.019,False,0.0
2018_AZE_BAKU_ALO_03,2018_AZE_BAKU_ALO,43,M,S,23.673,False,0.0
2018_AZE_BAKU_STR_01,2018_AZE_BAKU_STR,10,H,M,16.309,False,0.0
2018_AZE_BAKU_STR_02,2018_AZE_BAKU_STR,43,M,H,19.357,False,0.0
2018_AZE_BAKU_OCO_01,2018_AZE_BAKU_OCO,10,M,H,13.95,False,0.0
2018_AZE_BAKU_OCO_02,2018_AZE_BAKU_OCO,26,M,M,13.439,False,0.0
2018_AZE_BAKU_OCO_03,2018_AZE_BAKU_OCO,43,H,H,20.418,False,0.0
2018_AZE_BAKU_GAS_01,2018_AZE_BAKU_GAS,10,M,H,16.68,False,0.0
2018_AZE_BAKU_GAS_02,2018_AZE_BAKU_GAS,26,S,H,16.236,False,0.0
2018_AZE_BAKU_GAS_03,2018_AZE_BAKU_GAS,43,H,S,22.933,False,0.0
2018_AZE_BAKU_ALB_01,2018_AZE_BAKU_ALB,10,M,M,15.261,False,0.0
2018_AZE_BAKU_ALB_02,2018_AZE_BAKU_ALB,43,H,H,20.945,False,0.0
2018_AZE_BAKU_TSU_01,2018_AZE_BAKU_TSU,10,H,M,15.924,False,0.0
2018_AZE_BAKU_TSU_02,2018_AZE_BAKU_TSU,43,M,H,21.571,False,0.0
2018_AZE_BAKU_HUL_01,2018_AZE_BAKU_HUL,10,H,M,17.824,False,0.0
2018_AZE_BAKU_HUL_02,2018_AZE_BAKU_HUL,21,H,M,21.45,False,0.0
2018_AZE_BAKU_HUL_03,2018_AZE_BAKU_HUL,32,H,S,22.995,False,0.0
2018_AZE_BAKU_HUL_04,2018_AZE_BAKU_HUL,43,H,H,19.23,False,0.0
2018_AZE_BAKU_BOT_01,2018_AZE_BAKU_BOT,10,H,S,18.669,False,0.0
2018_AZE_BAKU_BOT_02,2018_AZE_BAKU_BOT,26,H,M,20.878,False,0.0
2018_AZE_BAKU_BOT_03,2018_AZE_BAKU_BOT,43,M,H,15.248,False,0.0
2018_AZE_BAKU_MAG_01,2018_AZE_BAKU_MAG,10,S,S,14.832,False,0.0
2018_AZE_BAKU_MAG_02,2018_AZE_BAKU_MAG,26,H,H,12.063,False,0.0
2018_AZE_BAKU_MAG_03,2018_AZE_BAKU_MAG,43,M,S,14.634,False,0.0
2018_AZE_BAKU_ZHO_01,2018_AZE_BAKU_ZHO,10,S,H,18.395,False,0.0
2018_AZE_BAKU_ZHO_02,2018_AZE_BAKU_ZHO,26,S,M,19.087,False,0.0
2018_AZE_BAKU_ZHO_03,2018_AZE_BAKU_ZHO,43,M,S,13.317,False,0.0
2018_AZE_BAKU_SAR_01,2018_AZE_BAKU_SAR,10,H,M,23.795,False,0.0
2018_AZE_BAKU_SAR_02,2018_AZE_BAKU_SAR,21,H,M,17.944,False,0.0
2018_AZE_BAKU_SAR_03,2018_AZE_BAKU_SAR,32,H,S,18.499,False,0.0
2018_AZE_BAKU_SAR_04,2018_AZE_BAKU_SAR,43,H,H,21.205,False,0.0
2018_AZE_BAKU_LAW_01,2018_AZE_BAKU_LAW,10,M,M,17.548,False,0.0
2018_AZE_BAKU_LAW_02,2018_AZE_BAKU_LAW,21,S,M,16.901,False,0.0
2018_AZE_BAKU_LAW_03,2018_AZE_BAKU_LAW,32,S,S,19.318,False,0.0
2018_AZE_BAKU_LAW_04,2018_AZE_BAKU_LAW,43,S,S,23.007,False,0.0
2018_SAU_JEDDAH_VER_01,2018_SAU_JEDDAH_VER,10,M,M,17.968,False,0.0
2018_SAU_JEDDAH_VER_02,2018_SAU_JEDDAH_VER,20,H,H,20.004,False,0.0
2018_SAU_JEDDAH_VER_03,2018_SAU_JEDDAH_VER,31,M,S,18.684,False,0.0
2018_SAU_JEDDAH_VER_04,2018_SAU_JEDDAH_VER,42,M,M,21.986,False,0.0
2018_SAU_JEDDAH_PER_01,2018_SAU_JEDDAH_PER,10,H,M,17.351,False,0.0
2018_SAU_JEDDAH_PER_02,2018_SAU_JEDDAH_PER,26,S,H,18.46,False,0.0
2018_SAU_JEDDAH_PER_03,2018_SAU_JEDDAH_PER,42,S,S,16.676,False,0.0
2018_SAU_JEDDAH_HAM_01,2018_SAU_JEDDAH_HAM,10,M,S,14.172,False,0.0
2018_SAU_JEDDAH_HAM_02,2018_SAU_JEDDAH_HAM,26,M,H,21.161,False,0.0
2018_SAU_JEDDAH_HAM_03,2018_SAU_JEDDAH_HAM,42,H,S,18.284,False,0.0
2018_SAU_JEDDAH_RUS_01,2018_SAU_JEDDAH_RUS,10,M,S,19.031,False,0.0
2018_SAU_JEDDAH_RUS_02,2018_SAU_JEDDAH_RUS,42,H,S,15.023,False,0.0
2018_SAU_JEDDAH_LEC_01,2018_SAU_JEDDAH_LEC,10,M,M,19.502,False,0.0
2018_SAU_JEDDAH_LEC_02,2018_SAU_JEDDAH_LEC,42,H,S,23.091,False,0.0
2018_SAU_JEDDAH_SAI_01,2018_SAU_JEDDAH_SAI,10,H,H,28.357,True,5.505
2018_SAU_JEDDAH_SAI_02,2018_SAU_JEDDAH_SAI,20,M,S,12.59,False,0.0
2018_SAU_JEDDAH_SAI_03,2018_SAU_JEDDAH_SAI,31,S,M,14.74,False,0.0
2018_SAU_JEDDAH_SAI_04,2018_SAU_JEDDAH_SAI,42,M,M,19.711,False,0.0
2018_SAU_JEDDAH_NOR_01,2018_SAU_JEDDAH_NOR,10,S,M,20.61,False,0.0
2018_SAU_JEDDAH_NOR_02,2018_SAU_JEDDAH_NOR,42,H,H,22.27,False,0.0
2018_SAU_JEDDAH_PIA_01,2018_SAU_JEDDAH_PIA,10,S,S,15.563,False,0.0
2018_SAU_JEDDAH_PIA_02,2018_SAU_JEDDAH_PIA,26,S,M,15.298,False,0.0
2018_SAU_JEDDAH_PIA_03,2018_SAU_JEDDAH_PIA,42,M,H,15.445,False,0.0
2018_SAU_JEDDAH_ALO_01,2018_SAU_JEDDAH_ALO,10,S,M,18.829,False,0.0
2018_SAU_JEDDAH_ALO_02,2018_SAU_JEDDAH_ALO,26,M,S,21.359,False,0.0
2018_SAU_JEDDAH_ALO_03,2018_SAU_JEDDAH_ALO,42,H,M,17.357,False,0.0
2018_SAU_JEDDAH_STR_01,2018_SAU_JEDDAH_STR,10,M,S,19.738,False,0.0
2018_SAU_JEDDAH_STR_02,2018_SAU_JEDDAH_STR,26,H,M,11.451,False,0.0
2018_SAU_JEDDAH_STR_03,2018_SAU_JEDDAH_STR,42,S,S,18.89,False,0.0
2018_SAU_JEDDAH_OCO_01,2018_SAU_JEDDAH_OCO,10,H,H,16.068,False,0.0
2018_SAU_JEDDAH_OCO_02,2018_SAU_JEDDAH_OCO,42,M,M,15.037,False,0.0
2018_SAU_JEDDAH_GAS_01,2018_SAU_JEDDAH_GAS,10,H,S,13.439,False,0.0
2018_SAU_JEDDAH_GAS_02,2018_SAU_JEDDAH_GAS,26,H,H,17.074,False,0.0
2018_SAU_JEDDAH_GAS_03,2018_SAU_JEDDAH_GAS,42,S,M,17.934,False,0.0
2018_SAU_JEDDAH_ALB_01,2018_SAU_JEDDAH_ALB,10,M,H,19.811,False,0.0
2018_SAU_JEDDAH_ALB_02,2018_SAU_JEDDAH_ALB,42,M,M,18.202,False,0.0
2018_SAU_JEDDAH_TSU_01,2018_SAU_JEDDAH_TSU,10,S,S,22.889,False,0.0
2018_SAU_JEDDAH_TSU_02,2018_SAU_JEDDAH_TSU,42,S,H,16.094,False,0.0
2018_SAU_JEDDAH_HUL_01,2018_SAU_JEDDAH_HUL,10,S,M,18.326,False,0.0
2018_SAU_JEDDAH_HUL_02,2018_SAU_JEDDAH_HUL,42,S,H,17.479,False,0.0
2018_SAU_JEDDAH_BOT_01,2018_SAU_JEDDAH_BOT,10,H,H,18.623,False,0.0
2018_SAU_JEDDAH_BOT_02,2018_SAU_JEDDAH_BOT,42,M,M,20.15,False,0.0
2018_SAU_JEDDAH_MAG_01,2018_SAU_JEDDAH_MAG,10,M,S,14.89,False,0.0
2018_SAU_JEDDAH_MAG_02,2018_SAU_JEDDAH_MAG,20,M,M,16.273,False,0.0
2018_SAU_JEDDAH_MAG_03,2018_SAU_JEDDAH_MAG,31,H,M,19.666,False,0.0
2018_SAU_JEDDAH_MAG_04,2018_SAU_JEDDAH_MAG,42,S,H,20.999,False,0.0
2018_SAU_JEDDAH_ZHO_01,2018_SAU_JEDDAH_ZHO,10,M,S,16.878,False,0.0
2018_SAU_JEDDAH_ZHO_02,2018_SAU_JEDDAH_ZHO,20,H,H,19.309,False,0.0
2018_SAU_JEDDAH_ZHO_03,2018_SAU_JEDDAH_ZHO,31,S,S,17.053,False,0.0
2018_SAU_JEDDAH_ZHO_04,2018_SAU_JEDDAH_ZHO,42,S,H,19.582,False,0.0
2018_SAU_JEDDAH_SAR_01,2018_SAU_JEDDAH_SAR,10,M,S,16.485,False,0.0
2018_SAU_JEDDAH_SAR_02,2018_SAU_JEDDAH_SAR,20,H,H,15.291,False,0.0
2018_SAU_JEDDAH_SAR_03,2018_SAU_JEDDAH_SAR,31,M,H,25.571,True,7.335
2018_SAU_JEDDAH_SAR_04,2018_SAU_JEDDAH_SAR,42,M,S,17.304,False,0.0
2018_SAU_JEDDAH_LAW_01,2018_SAU_JEDDAH_LAW,10,H,M,22.117,False,0.0
2018_SAU_JEDDAH_LAW_02,2018_SAU_JEDDAH_LAW,26,H,S,17.864,False,0.0
2018_SAU_JEDDAH_LAW_03,2018_SAU_JEDDAH_LAW,42,S,S,22.448,False,0.0
2018_SIN_MARINA_VER_01,2018_SIN_MARINA_VER,12,H,H,19.47,False,0.0
2018_SIN_MARINA_VER_02,2018_SIN_MARINA_VER,52,H,H,21.938,False,0.0
2018_SIN_MARINA_PER_01,2018_SIN_MARINA_PER,12,M,S,19.48,False,0.0
2018_SIN_MARINA_PER_02,2018_SIN_MARINA_PER,32,S,H,18.905,False,0.0
2018_SIN_MARINA_PER_03,2018_SIN_MARINA_PER,52,M,S,21.665,True,5.426
2018_SIN_MARINA_HAM_01,2018_SIN_MARINA_HAM,12,S,M,18.437,False,0.0
2018_SIN_MARINA_HAM_02,2018_SIN_MARINA_HAM,32,M,S,25.102,True,7.055
2018_SIN_MARINA_HAM_03,2018_SIN_MARINA_HAM,52,S,H,20.845,False,0.0
2018_SIN_MARINA_RUS_01,2018_SIN_MARINA_RUS,12,S,S,15.715,False,0.0
2018_SIN_MARINA_RUS_02,2018_SIN_MARINA_RUS,32,S,S,14.496,False,0.0
2018_SIN_MARINA_RUS_03,2018_SIN_MARINA_RUS,52,S,S,13.547,False,0.0
2018_SIN_MARINA_LEC_01,2018_SIN_MARINA_LEC,12,M,H,11.714,False,0.0
2018_SIN_MARINA_LEC_02,2018_SIN_MARINA_LEC,32,M,S,15.477,False,0.0
2018_SIN_MARINA_LEC_03,2018_SIN_MARINA_LEC,52,M,M,20.263,False,0.0
2018_SIN_MARINA_SAI_01,2018_SIN_MARINA_SAI,12,S,H,14.638,False,0.0
2018_SIN_MARINA_SAI_02,2018_SIN_MARINA_SAI,52,M,H,16.909,False,0.0
2018_SIN_MARINA_NOR_01,2018_SIN_MARINA_NOR,12,H,M,24.282,False,0.0
2018_SIN_MARINA_NOR_02,2018_SIN_MARINA_NOR,32,M,S,24.416,False,0.0
2018_SIN_MARINA_NOR_03,2018_SIN_MARINA_NOR,52,H,S,17.562,False,0.0
2018_SIN_MARINA_PIA_01,2018_SIN_MARINA_PIA,12,S,M,20.557,False,0.0
2018_SIN_MARINA_PIA_02,2018_SIN_MARINA_PIA,52,S,M,17.837,False,0.0
2018_SIN_MARINA_ALO_01,2018_SIN_MARINA_ALO,12,S,H,23.434,False,0.0
2018_SIN_MARINA_ALO_02,2018_SIN_MARINA_ALO,32,H,M,14.724,False,0.0
2018_SIN_MARINA_ALO_03,2018_SIN_MARINA_ALO,52,H,M,17.924,False,0.0
2018_SIN_MARINA_STR_01,2018_SIN_MARINA_STR,12,H,S,24.194,False,0.0
2018_SIN_MARINA_STR_02,2018_SIN_MARINA_STR,32,M,M,13.392,False,0.0
2018_SIN_MARINA_STR_03,2018_SIN_MARINA_STR,52,S,H,26.948,False,0.0
2018_SIN_MARINA_OCO_01,2018_SIN_MARINA_OCO,12,H,S,20.048,False,0.0
2018_SIN_MARINA_OCO_02,2018_SIN_MARINA_OCO,25,H,M,14.275,False,0.0
2018_SIN_MARINA_OCO_03,2018_SIN_MARINA_OCO,39,H,S,18.34,False,0.0
2018_SIN_MARINA_OCO_04,2018_SIN_MARINA_OCO,52,S,M,21.044,False,0.0
2018_SIN_MARINA_GAS_01,2018_SIN_MARINA_GAS,12,H,H,16.64,False,0.0
2018_SIN_MARINA_GAS_02,2018_SIN_MARINA_GAS,32,M,H,23.498,False,0.0
2018_SIN_MARINA_GAS_03,2018_SIN_MARINA_GAS,52,S,M,20.598,False,0.0
2018_SIN_MARINA_ALB_01,2018_SIN_MARINA_ALB,12,H,S,17.5,False,0.0
2018_SIN_MARINA_ALB_02,2018_SIN_MARINA_ALB,52,S,M,16.25,False,0.0
2018_SIN_MARINA_TSU_01,2018_SIN_MARINA_TSU,12,S,H,20.027,False,0.0
2018_SIN_MARINA_TSU_02,2018_SIN_MARINA_TSU,52,H,H,18.762,False,0.0
2018_SIN_MARINA_HUL_01,2018_SIN_MARINA_HUL,12,S,S,13.27,False,0.0
2018_SIN_MARINA_HUL_02,2018_SIN_MARINA_HUL,25,H,H,14.485,False,0.0
2018_SIN_MARINA_HUL_03,2018_SIN_MARINA_HUL,39,H,M,15.707,True,2.139
2018_SIN_MARINA_HUL_04,2018_SIN_MARINA_HUL,52,M,M,20.828,False,0.0
2018_SIN_MARINA_BOT_01,2018_SIN_MARINA_BOT,12,M,H,17.24,False,0.0
2018_SIN_MARINA_BOT_02,2018_SIN_MARINA_BOT,32,H,M,17.506,False,0.0
2018_SIN_MARINA_BOT_03,2018_SIN_MARINA_BOT,52,H,H,16.983,False,0.0
2018_SIN_MARINA_MAG_01,2018_SIN_MARINA_MAG,12,H,S,23.976,False,0.0
2018_SIN_MARINA_MAG_02,2018_SIN_MARINA_MAG,52,H,H,16.232,False,0.0
2018_SIN_MARINA_ZHO_01,2018_SIN_MARINA_ZHO,12,M,M,12.975,False,0.0
2018_SIN_MARINA_ZHO_02,2018_SIN_MARINA_ZHO,25,H,M,16.765,False,0.0
2018_SIN_MARINA_ZHO_03,2018_SIN_MARINA_ZHO,39,M,M,16.046,False,0.0
2018_SIN_MARINA_ZHO_04,2018_SIN_MARINA_ZHO,52,H,M,18.339,False,0.0
2018_SIN_MARINA_SAR_01,2018_SIN_MARINA_SAR,12,H,M,14.07,False,0.0
2018_SIN_MARINA_SAR_02,2018_SIN_MARINA_SAR,25,M,M,17.586,False,0.0
2018_SIN_MARINA_SAR_03,2018_SIN_MARINA_SAR,39,H,H,18.911,False,0.0
2018_SIN_MARINA_SAR_04,2018_SIN_MARINA_SAR,52,S,M,17.318,False,0.0
2018_SIN_MARINA_LAW_01,2018_SIN_MARINA_LAW,12,H,H,24.906,True,5.975
2018_SIN_MARINA_LAW_02,2018_SIN_MARINA_LAW,52,M,M,19.668,False,0.0
2018_SPA_CATALU_VER_01,2018_SPA_CATALU_VER,13,S,S,19.265,False,0.0
2018_SPA_CATALU_VER_02,2018_SPA_CATALU_VER,34,H,H,16.978,False,0.0
2018_SPA_CATALU_VER_03,2018_SPA_CATALU_VER,56,M,H,24.132,False,0.0
2018_SPA_CATALU_PER_01,2018_SPA_CATALU_PER,13,S,S,18.503,False,0.0
2018_SPA_CATALU_PER_02,2018_SPA_CATALU_PER,34,H,H,16.002,False,0.0
2018_SPA_CATALU_PER_03,2018_SPA_CATALU_PER,56,M,H,16.288,False,0.0
2018_SPA_CATALU_HAM_01,2018_SPA_CATALU_HAM,13,M,M,19.707,False,0.0
2018_SPA_CATALU_HAM_02,2018_SPA_CATALU_HAM,56,H,M,17.442,False,0.0
2018_SPA_CATALU_RUS_01,2018_SPA_CATALU_RUS,13,S,M,20.674,False,0.0
2018_SPA_CATALU_RUS_02,2018_SPA_CATALU_RUS,34,H,M,20.826,False,0.0
2018_SPA_CATALU_RUS_03,2018_SPA_CATALU_RUS,56,S,H,16.881,False,0.0
2018_SPA_CATALU_LEC_01,2018_SPA_CATALU_LEC,13,M,S,22.85,False,0.0
2018_SPA_CATALU_LEC_02,2018_SPA_CATALU_LEC,27,S,S,12.157,False,0.0
2018_SPA_CATALU_LEC_03,2018_SPA_CATALU_LEC,41,S,S,20.693,False,0.0
2018_SPA_CATALU_LEC_04,2018_SPA_CATALU_LEC,56,M,M,27.833,False,0.0
2018_SPA_CATALU_SAI_01,2018_SPA_CATALU_SAI,13,S,H,21.056,True,5.682
2018_SPA_CATALU_SAI_02,2018_SPA_CATALU_SAI,34,M,H,26.768,True,3.455
2018_SPA_CATALU_SAI_03,2018_SPA_CATALU_SAI,56,H,H,29.672,False,0.0
2018_SPA_CATALU_NOR_01,2018_SPA_CATALU_NOR,13,M,H,16.107,False,0.0
2018_SPA_CATALU_NOR_02,2018_SPA_CATALU_NOR,56,S,M,18.333,True,2.124
2018_SPA_CATALU_PIA_01,2018_SPA_CATALU_PIA,13,M,S,16.903,False,0.0
2018_SPA_CATALU_PIA_02,2018_SPA_CATALU_PIA,27,H,S,18.311,False,0.0
2018_SPA_CATALU_PIA_03,2018_SPA_CATALU_PIA,41,S,S,13.741,False,0.0
2018_SPA_CATALU_PIA_04,2018_SPA_CATALU_PIA,56,S,H,16.607,False,0.0
2018_SPA_CATALU_ALO_01,2018_SPA_CATALU_ALO,13,S,S,19.909,False,0.0
2018_SPA_CATALU_ALO_02,2018_SPA_CATALU_ALO,34,M,M,17.024,False,0.0
2018_SPA_CATALU_ALO_03,2018_SPA_CATALU_ALO,56,M,H,18.546,False,0.0
2018_SPA_CATALU_STR_01,2018_SPA_CATALU_STR,13,M,M,21.156,False,0.0
2018_SPA_CATALU_STR_02,2018_SPA_CATALU_STR,34,S,M,14.622,False,0.0
2018_SPA_CATALU_STR_03,2018_SPA_CATALU_STR,56,H,H,24.465,False,0.0
2018_SPA_CATALU_OCO_01,2018_SPA_CATALU_OCO,13,H,M,17.147,False,0.0
2018_SPA_CATALU_OCO_02,2018_SPA_CATALU_OCO,34,H,M,23.568,False,0.0
2018_SPA_CATALU_OCO_03,2018_SPA_CATALU_OCO,56,S,H,17.333,False,0.0
2018_SPA_CATALU_GAS_01,2018_SPA_CATALU_GAS,13,M,H,19.1,False,0.0
2018_SPA_CATALU_GAS_02,2018_SPA_CATALU_GAS,56,M,S,20.671,False,0.0
2018_SPA_CATALU_ALB_01,2018_SPA_CATALU_ALB,13,H,H,21.205,False,0.0
2018_SPA_CATALU_ALB_02,2018_SPA_CATALU_ALB,56,M,H,19.564,False,0.0
2018_SPA_CATALU_TSU_01,2018_SPA_CATALU_TSU,13,S,H,15.858,False,0.0
2018_SPA_CATALU_TSU_02,2018_SPA_CATALU_TSU,34,M,M,16.688,False,0.0
2018_SPA_CATALU_TSU_03,2018_SPA_CATALU_TSU,56,M,M,18.019,False,0.0
2018_SPA_CATALU_HUL_01,2018_SPA_CATALU_HUL,13,S,H,14.579,False,0.0
2018_SPA_CATALU_HUL_02,2018_SPA_CATALU_HUL,34,S,M,15.185,False,0.0
2018_SPA_CATALU_HUL_03,2018_SPA_CATALU_HUL,56,H,S,19.008,False,0.0
2018_SPA_CATALU_BOT_01,2018_SPA_CATALU_BOT,13,S,M,16.171,False,0.0
2018_SPA_CATALU_BOT_02,2018_SPA_CATALU_BOT,56,S,S,18.554,False,0.0
2018_SPA_CATALU_MAG_01,2018_SPA_CATALU_MAG,13,M,M,17.312,False,0.0
2018_SPA_CATALU_MAG_02,2018_SPA_CATALU_MAG,34,S,H,16.894,False,0.0
2018_SPA_CATALU_MAG_03,2018_SPA_CATALU_MAG,56,H,S,16.6,False,0.0
2018_SPA_CATALU_ZHO_01,2018_SPA_CATALU_ZHO,13,H,H,13.617,False,0.0
2018_SPA_CATALU_ZHO_02,2018_SPA_CATALU_ZHO,56,S,S,18.537,False,0.0
2018_SPA_CATALU_SAR_01,2018_SPA_CATALU_SAR,13,H,M,26.08,False,0.0
2018_SPA_CATALU_SAR_02,2018_SPA_CATALU_SAR,34,M,H,18.215,False,0.0
2018_SPA_CATALU_SAR_03,2018_SPA_CATALU_SAR,56,S,M,18.966,False,0.0
2018_SPA_CATALU_LAW_01,2018_SPA_CATALU_LAW,13,S,M,27.341,True,7.044
2018_SPA_CATALU_LAW_02,2018_SPA_CATALU_LAW,34,H,M,15.743,False,0.0
2018_SPA_CATALU_LAW_03,2018_SPA_CATALU_LAW,56,M,H,12.756,False,0.0
2018_USA_LAS VE_VER_01,2018_USA_LAS VE_VER,10,M,H,17.967,False,0.0
2018_USA_LAS VE_VER_02,2018_USA_LAS VE_VER,26,S,M,20.665,False,0.0
2018_USA_LAS VE_VER_03,2018_USA_LAS VE_VER,42,S,M,15.63,False,0.0
2018_USA_LAS VE_PER_01,2018_USA_LAS VE_PER,10,H,H,13.883,False,0.0
2018_USA_LAS VE_HAM_01,2018_USA_LAS VE_HAM,10,M,S,14.46,False,0.0
2018_USA_LAS VE_HAM_02,2018_USA_LAS VE_HAM,42,S,M,20.056,False,0.0
2018_USA_LAS VE_RUS_01,2018_USA_LAS VE_RUS,10,M,H,14.068,False,0.0
2018_USA_LAS VE_LEC_01,2018_USA_LAS VE_LEC,10,H,M,17.126,False,0.0
