entry_id,race_id,season_id,round,driver_id,constructor_id,grid,quali_rank,grid_penalty,finish_position,classified,dnf,dnf_reason,points,time_gap_s,pit_stops,pit_time_total_s,penalties_s,sc_laps_behind,tyre_strategy,incidents,rain_share,street,odds_pre,odds_post_quali,ovr_pre,ovr_post,implied_p_pre,implied_p_post,hazard_lambda_pre,hazard_lambda_post,driver_form_z,constructor_form_z,driver_ability_true,constructor_strength_true,race_noise_true
2018_AUS_RED BU_OCO,2018_AUS_RED BU,2018,1,OCO,ALP,14,14,0,14,True,False,,0.0,1821.287,2,42.97,0.0,4,M-H,1,0.0,False,28.1167,29.915,1.1099,1.0437,0.035566,0.033428,-4.125173,-4.205441,1.1396469544218042,0.41231750399231815,0.9828459054219387,0.6045868529573633,-0.1387420034338229
2018_AUS_RED BU_PER,2018_AUS_RED BU,2018,1,PER,RED,5,5,0,3,True,False,,15.0,71.77,2,38.513,0.0,4,S-M,0,0.0,False,15.4242,14.6647,1.1099,1.0437,0.064833,0.068191,-3.336139,-3.268516,0.8564089000412263,1.5588767113574113,1.1848036658927228,1.0437937675040545,0.14670604724252473
2018_AUS_RED BU_PIA,2018_AUS_RED BU,2018,1,PIA,MCL,8,9,0,9,True,False,,2.0,636.886,3,52.836,0.0,4,M-M,0,0.0,False,22.3474,22.0585,1.1099,1.0437,0.044748,0.045334,-3.826147,-3.80913,1.1346172578623506,-0.6657992931511602,0.9773392669798161,0.8639292471437414,0.049830245565435534
2018_AUS_RED BU_RUS,2018_AUS_RED BU,2018,1,RUS,MER,15,15,0,15,True,False,,0.0,1887.768,2,47.639,0.0,4,M-H,0,0.0,False,20.829,22.4401,1.1099,1.0437,0.04801,0.044563,-3.73394,-3.831582,-1.1982804540635152,-0.5463868795363196,1.6023221119335262,0.4640419441962984,-0.10921161180001336
2018_AUS_RED BU_SAI,2018_AUS_RED BU,2018,1,SAI,FER,16,16,0,16,True,False,,0.0,2010.892,2,33.529,0.0,4,M-H,0,0.0,False,19.1961,20.9407,1.1099,1.0437,0.052094,0.047754,-3.626504,-3.740964,-2.349918858623576,-1.6717506827789888,0.98319503288734,0.9542816505950716,0.016455778863766715
2018_AUS_RED BU_SAR,2018_AUS_RED BU,2018,1,SAR,SAU,13,11,3,13,True,False,,0.0,1044.936,1,22.639,0.0,4,M-M,0,0.0,False,20.8642,21.9231,1.1099,1.0437,0.047929,0.045614,-3.736146,-3.801056,-1.5361001225823312,-1.4691000370069958,0.3786650056137507,1.3209755796782057,0.07190967601889225
2018_AUS_RED BU_STR,2018_AUS_RED BU,2018,1,STR,AST,1,1,0,2,True,False,,18.0,25.541,2,37.509,0.0,4,S-M,0,0.0,False,15.1343,13.6872,1.1099,1.0437,0.066075,0.073061,-3.310754,-3.175744,0.7206961603261778,0.4059683522726222,1.028521814546194,1.299775840914161,0.2657347723514232
2018_AUS_RED BU_TSU,2018_AUS_RED BU,2018,1,TSU,WIL,19,20,0,19,True,False,,0.0,8013.901,3,51.41,0.0,4,M-M,0,0.0,False,39.9616,45.2591,1.1099,1.0437,0.025024,0.022095,-4.578197,-4.737571,0.24106103579929694,-0.6778800230292569,0.9045709384617757,0.4204693063297035,0.20401928861533647
2018_AUS_RED BU_VER,2018_AUS_RED BU,2018,1,VER,RED,6,7,0,7,True,False,,6.0,345.115,2,44.418,0.0,4,M-H,1,0.0,False,19.4262,18.7017,1.1099,1.0437,0.051477,0.053471,-3.642205,-3.592075,1.2658042833652372,0.9767784768477131,0.9213406177818644,1.0437937675040545,0.0731677620602437
2018_AUS_RED BU_ZHO,2018_AUS_RED BU,2018,1,ZHO,RBM,2,2,0,4,True,False,,12.0,101.106,2,38.662,0.0,4,M-M,1,0.0,False,18.0558,16.5349,1.1099,1.0437,0.055384,0.060478,-3.545615,-3.428855,1.9032282189287952,1.683898343433206,0.8512233637047124,1.1904289394780567,0.32010242649532084
2018_AZE_BAKU_ALB,2018_AZE_BAKU,2018,2,ALB,WIL,18,18,0,19,True,False,,0.0,4729.509,2,36.206,0.0,2,M-H,2,0.76,True,25.641,28.7844,1.0635,1.0367,0.039,0.034741,-4.005518,-4.155588,-1.806545413028421,-0.8179115770822486,1.3782924856363648,0.3100846536797165,-0.16798837707504236
2018_AZE_BAKU_ALO,2018_AZE_BAKU,2018,2,ALO,AST,1,1,0,1,True,False,,25.0,0.0,3,50.907,0.0,2,M-M,0,0.76,True,12.5298,11.3731,1.0635,1.0367,0.07981,0.087927,-3.056172,-2.924015,0.5997930874500704,0.6575543733993168,1.0990136128916004,1.2674433156506755,-0.032311573373077655
2018_AZE_BAKU_BOT,2018_AZE_BAKU,2018,2,BOT,HAA,9,10,0,10,True,False,,1.0,699.255,3,54.796,0.0,2,M-H,0,0.76,True,18.3682,18.426,1.0635,1.0367,0.054442,0.054271,-3.568308,-3.572452,0.8366931898226928,0.25370869623817877,1.2675157980123266,0.9478188774626698,0.1291555281669497
2018_AZE_BAKU_GAS,2018_AZE_BAKU,2018,2,GAS,ALP,14,9,5,13,True,False,,0.0,1981.695,3,55.849,0.0,2,S-M,0,0.76,True,20.0369,21.3959,1.0635,1.0367,0.049908,0.046738,-3.682961,-3.769169,-0.6273753726188182,0.22906527999573242,1.6461264615102391,0.5693602729393236,0.1048992831642364
2018_AZE_BAKU_HAM,2018_AZE_BAKU,2018,2,HAM,MER,16,16,0,16,True,False,,0.0,4023.685,3,55.854,0.0,2,S-H,0,0.76,True,24.2848,26.5887,1.0635,1.0367,0.041178,0.03761,-3.934752,-4.052689,-0.3746115083066257,-0.798565439322313,1.363981520267143,0.4171055328375385,0.024399811573285995
2018_AZE_BAKU_HUL,2018_AZE_BAKU,2018,2,HUL,HAA,13,14,0,14,True,False,,0.0,2251.869,4,81.499,0.0,2,M-H,0,0.76,True,22.5372,23.7671,1.0635,1.0367,0.044371,0.042075,-3.837229,-3.906647,-0.778451139736971,-0.5656074604208969,0.889482062901529,0.9478188774626698,0.16443851855085267
2018_AZE_BAKU_LAW,2018_AZE_BAKU,2018,2,LAW,SAU,4,4,0,6,True,False,,8.0,269.163,4,76.774,0.0,2,S-H,1,0.76,True,17.9314,16.8979,1.0635,1.0367,0.055768,0.059179,-3.536454,-3.457724,-1.8425200134598299,-0.8611965734178936,0.4630955430941388,1.408798843573439,0.10023799420184622
2018_AZE_BAKU_LEC,2018_AZE_BAKU,2018,2,LEC,FER,19,19,0,17,True,False,,0.0,4248.089,2,31.406,0.0,2,S-H,0,0.76,True,34.0113,38.6608,1.0635,1.0367,0.029402,0.025866,-4.371053,-4.535767,-0.4203671711059536,-1.6717506827789888,0.34534691658955896,0.9233981111892099,0.08199876575834983
2018_AZE_BAKU_MAG,2018_AZE_BAKU,2018,2,MAG,RBM,3,3,0,2,True,False,,18.0,56.199,3,41.529,5.0,2,M-M,1,0.76,True,12.0122,11.1792,1.0635,1.0367,0.083249,0.089452,-2.998748,-2.90043,1.3588605161840708,1.716930678302159,1.2204551392147671,1.1789999230724217,0.11866701768854344
2018_AZE_BAKU_NOR,2018_AZE_BAKU,2018,2,NOR,MCL,12,13,0,12,True,False,,0.0,1930.075,3,75.754,0.0,2,S-M,0,0.76,True,27.7855,28.9377,1.0635,1.0367,0.03599,0.034557,-4.109819,-4.162469,-0.5709944131668471,-0.18945508341699652,0.8018216004931633,0.9292769389330815,0.1791013918911648
2018_AZE_BAKU_OCO,2018_AZE_BAKU,2018,2,OCO,ALP,17,17,0,18,True,False,,0.0,4468.427,3,47.807,0.0,2,M-H,0,0.76,True,35.8461,39.7409,1.0635,1.0367,0.027897,0.025163,-4.438677,-4.571106,-0.8140335388727153,-1.2369525119769507,0.972740201596529,0.5693602729393236,-0.09038628363414729
2018_AZE_BAKU_PER,2018_AZE_BAKU,2018,2,PER,RED,2,2,0,3,True,False,,15.0,88.715,3,57.721,0.0,2,M-H,1,0.76,True,15.7642,14.4888,1.0635,1.0367,0.063435,0.069019,-3.365256,-3.252325,0.8564089000412263,1.1708112216842796,1.181887508695087,1.1330619456338182,-0.07775325563364045
2018_AZE_BAKU_PIA,2018_AZE_BAKU,2018,2,PIA,MCL,11,12,0,11,True,False,,0.0,1054.64,2,44.625,0.0,2,S-M,1,0.76,True,20.3397,20.9201,1.0635,1.0367,0.049165,0.047801,-3.702708,-3.739668,0.709135786163969,1.2395775457854938,0.9457659879960123,0.9292769389330815,0.3366139029101132
2018_AZE_BAKU_RUS,2018_AZE_BAKU,2018,2,RUS,MER,10,11,0,8,True,False,,4.0,579.422,3,54.773,0.0,2,S-H,1,0.76,True,20.7607,21.0877,1.0635,1.0367,0.048168,0.047421,-3.729615,-3.75014,-0.42400692989939787,-0.5463868795363196,1.647297998984448,0.4171055328375385,-0.10877601746929023
2018_AZE_BAKU_SAI,2018_AZE_BAKU,2018,2,SAI,FER,15,15,0,15,True,False,,0.0,3231.778,3,43.104,0.0,2,S-M,0,0.76,True,21.1296,22.8467,1.0635,1.0367,0.047327,0.04377,-3.752735,-3.855062,-2.198698339631456,-1.30087490105323,0.8817505620512718,0.9233981111892099,-0.19898501473661548
2018_AZE_BAKU_SAR,2018_AZE_BAKU,2018,2,SAR,SAU,6,6,0,9,True,False,,2.0,627.278,4,81.443,0.0,2,H-H,0,0.76,True,19.2667,18.6157,1.0635,1.0367,0.051903,0.053718,-3.631344,-3.585992,-0.5683570453554629,-0.9962862319932498,0.36021297607370156,1.408798843573439,-0.11521041315145727
2018_AZE_BAKU_STR,2018_AZE_BAKU,2018,2,STR,AST,7,7,0,5,True,False,,10.0,255.363,2,35.666,0.0,2,M-H,0,0.76,True,13.0039,12.7226,1.0635,1.0367,0.0769,0.0786,-3.106545,-3.076909,0.1258857921967131,0.6575543733993168,1.0191529441438438,1.2674433156506755,0.027896788313338302
2018_AZE_BAKU_TSU,2018_AZE_BAKU,2018,2,TSU,WIL,20,20,0,20,True,False,,0.0,9354.492,2,37.494,0.0,2,M-H,0,0.76,True,41.7327,48.0354,1.0635,1.0367,0.023962,0.020818,-4.6338,-4.813612,-0.5165593624270645,-1.2380062392412245,0.8656871236073148,0.3100846536797165,-0.053894507384775546
2018_AZE_BAKU_VER,2018_AZE_BAKU,2018,2,VER,RED,5,5,0,4,True,False,,12.0,109.885,2,32.111,0.0,2,S-H,0,0.76,True,17.3331,16.5396,1.0635,1.0367,0.057693,0.060461,-3.491488,-3.429228,1.7912324764602414,1.0737948492659959,0.8698093102779297,1.1330619456338182,0.06728661495467435
2018_AZE_BAKU_ZHO,2018_AZE_BAKU,2018,2,ZHO,RBM,8,8,0,7,True,False,,6.0,406.242,3,50.799,0.0,2,M-H,1,0.76,True,24.7329,24.5026,1.0635,1.0367,0.040432,0.040812,-3.958586,-3.946383,1.595101328210969,1.3205426598747259,0.7959912434298686,1.1789999230724217,-0.10467854551222655
2018_SAU_JEDDAH_ALB,2018_SAU_JEDDAH,2018,3,ALB,WIL,17,17,0,15,True,False,,0.0,4575.416,2,38.013,10.0,4,S-M,1,0.396,True,30.0607,33.34,1.0744,1.0673,0.033266,0.029994,-4.211722,-4.345401,-1.4109515269638033,-0.6778800230292569,1.4407760250723638,0.28761225704179066,0.055389687491124065
2018_SAU_JEDDAH_ALO,2018_SAU_JEDDAH,2018,3,ALO,AST,1,1,0,2,True,False,,18.0,7.934,3,57.546,0.0,4,M-H,1,0.396,True,12.4561,11.3109,1.0744,1.0673,0.080282,0.08841,-3.048146,-2.916505,0.7021967853073994,0.6575543733993168,1.125777169873434,1.4063377176159808,-0.16155409733913242
2018_SAU_JEDDAH_BOT,2018_SAU_JEDDAH,2018,3,BOT,HAA,6,7,0,5,True,False,,10.0,161.637,2,38.773,0.0,4,H-H,0,0.396,True,17.5079,16.9236,1.0744,1.0673,0.057117,0.059089,-3.504799,-3.459761,1.1540595721692313,0.15129417665579464,1.2357880225185742,0.9679138727533831,-0.04739467689439273
2018_SAU_JEDDAH_GAS,2018_SAU_JEDDAH,2018,3,GAS,ALP,10,11,0,9,True,False,,2.0,470.708,3,48.448,0.0,4,M-H,3,0.396,True,18.7564,19.0603,1.0744,1.0673,0.053315,0.052465,-3.595946,-3.617147,-0.1642123458532467,-0.3206913919940238,1.722976868795174,0.495363233254449,-0.1788508273846994
2018_SAU_JEDDAH_HAM,2018_SAU_JEDDAH,2018,3,HAM,MER,18,18,0,16,True,False,,0.0,4861.051,3,53.616,0.0,4,M-H,0,0.396,True,28.3551,31.8441,1.0744,1.0673,0.035267,0.031403,-4.136119,-4.286196,-0.5955902070268263,-0.6304463994649843,1.3112046958965846,0.41404144877320614,0.15065777011438963
2018_SAU_JEDDAH_HUL,2018_SAU_JEDDAH,2018,3,HUL,HAA,14,10,5,20,False,True,crash,0.0,,2,35.805,0.0,4,M-H,1,0.396,True,20.4591,21.856,1.0744,1.0673,0.048878,0.045754,-3.71038,-3.79706,-1.6098067258638327,-1.180094577915204,0.8930617586013234,0.9679138727533831,0.0009587821803935122
2018_SAU_JEDDAH_LAW,2018_SAU_JEDDAH,2018,3,LAW,SAU,5,6,0,7,True,False,,6.0,283.004,3,62.429,0.0,4,H-H,1,0.396,True,17.1441,16.3663,1.0744,1.0673,0.058329,0.061101,-3.476952,-3.415221,-1.8425200134598299,-0.1857482805411134,0.5917316760585789,1.3827398202669374,0.1484458980327077
2018_SAU_JEDDAH_LEC,2018_SAU_JEDDAH,2018,3,LEC,FER,19,19,0,17,True,False,,0.0,7569.917,2,42.593,0.0,4,M-H,0,0.396,True,32.7139,37.2024,1.0744,1.0673,0.030568,0.02688,-4.320955,-4.486405,-0.2936811743342963,-1.4245001616284827,0.24958237157534607,0.9698517925043715,-0.14822932944479925
2018_SAU_JEDDAH_MAG,2018_SAU_JEDDAH,2018,3,MAG,RBM,3,3,0,3,True,False,,15.0,69.26,4,71.827,0.0,4,M-H,1,0.396,True,11.8926,11.0727,1.0744,1.0673,0.084086,0.090312,-2.985109,-2.887286,1.252382639915916,1.3866073296126311,1.2924442060473504,1.2415228511747387,0.24948913743245005
2018_SAU_JEDDAH_NOR,2018_SAU_JEDDAH,2018,3,NOR,MCL,16,16,0,14,True,False,,0.0,3273.275,2,42.879,0.0,4,H-H,1,0.396,True,26.6574,29.1988,1.0744,1.0673,0.037513,0.034248,-4.056026,-4.174089,-0.0627103690761279,0.6441472836177892,0.68807081821816,0.8698041369068813,-0.03919399200319867
2018_SAU_JEDDAH_OCO,2018_SAU_JEDDAH,2018,3,OCO,ALP,12,13,0,13,True,False,,0.0,2175.002,2,31.105,0.0,4,M-H,1,0.396,True,26.4508,27.5596,1.0744,1.0673,0.037806,0.036285,-4.045919,-4.099223,0.16280670777454445,-0.3206913919940238,1.0327168127578206,0.495363233254449,0.16281670805393447
2018_SAU_JEDDAH_PER,2018_SAU_JEDDAH,2018,3,PER,RED,9,5,5,8,True,False,,4.0,335.531,3,52.487,0.0,4,S-M,0,0.396,True,15.138,15.192,1.0744,1.0673,0.066059,0.065824,-3.311087,-3.315856,0.3733064436077134,0.9767784768477131,1.2181638656196891,1.0857500835849738,-0.003944854237809672
2018_SAU_JEDDAH_PIA,2018_SAU_JEDDAH,2018,3,PIA,MCL,8,9,0,6,True,False,,8.0,274.098,3,46.306,0.0,4,M-H,3,0.396,True,23.515,23.3062,1.0744,1.0673,0.042526,0.042907,-3.892738,-3.881069,1.2764444150951446,1.3586635982190343,1.03846092224967,0.8698041369068813,0.14086488911710401
2018_SAU_JEDDAH_RUS,2018_SAU_JEDDAH,2018,3,RUS,MER,15,15,0,19,False,True,crash,0.0,,2,34.054,0.0,4,M-H,1,0.396,True,20.8625,22.5678,1.0744,1.0673,0.047933,0.044311,-3.736035,-3.838986,-1.272020789698193,-1.2188630389656356,1.693776985061331,0.41404144877320614,0.23403882414420674
2018_SAU_JEDDAH_SAI,2018_SAU_JEDDAH,2018,3,SAI,FER,4,4,0,4,True,False,,12.0,154.667,4,75.398,0.0,4,M-M,0,0.396,True,21.4371,20.2102,1.0744,1.0673,0.046648,0.04948,-3.771694,-3.694304,-1.0393410273585382,0.1826282258498054,0.9108299106079274,0.9698517925043715,0.111494519877413
2018_SAU_JEDDAH_SAR,2018_SAU_JEDDAH,2018,3,SAR,SAU,13,14,0,12,True,False,,0.0,1783.589,4,74.651,0.0,4,S-M,1,0.396,True,24.0419,25.3646,1.0744,1.0673,0.041594,0.039425,-3.921647,-3.991427,-0.729647558226608,-0.9962862319932498,0.35422642127059945,1.3827398202669374,-0.0008810936290917103
2018_SAU_JEDDAH_STR,2018_SAU_JEDDAH,2018,3,STR,AST,2,2,0,1,True,False,,25.0,0.0,3,50.08,0.0,4,S-M,1,0.396,True,13.0075,11.9601,1.0744,1.0673,0.076879,0.083611,-3.106906,-2.992837,0.4563359967130819,0.6575543733993168,0.98711941104613,1.4063377176159808,0.13081540565255823
2018_SAU_JEDDAH_TSU,2018_SAU_JEDDAH,2018,3,TSU,WIL,20,20,0,18,True,False,,0.0,10764.646,2,38.983,0.0,4,H-H,0,0.396,True,47.3844,54.5613,1.0744,1.0673,0.021104,0.018328,-4.796176,-4.976046,0.24106103579929694,-0.537848468976265,0.8029002067289002,0.28761225704179066,0.07199473924040843
2018_SAU_JEDDAH_VER,2018_SAU_JEDDAH,2018,3,VER,RED,7,8,0,10,True,False,,1.0,598.455,4,78.643,0.0,4,M-H,1,0.396,True,22.8154,22.3319,1.0744,1.0673,0.04383,0.044779,-3.853286,-3.825248,1.2658042833652372,0.2976638699197317,0.817973175494465,1.0857500835849738,0.040420335709987244
2018_SAU_JEDDAH_ZHO,2018_SAU_JEDDAH,2018,3,ZHO,RBM,11,12,0,11,True,False,,0.0,1041.625,4,72.822,0.0,4,M-H,2,0.396,True,17.5442,18.0525,1.0744,1.0673,0.056999,0.055394,-3.507535,-3.545365,1.2185017951114034,0.7920253019714814,0.754988196560085,1.2415228511747387,-0.12223701891613105
2018_SIN_MARINA_ALB,2018_SIN_MARINA,2018,4,ALB,WIL,14,14,0,12,True,False,,0.0,1896.46,2,33.75,0.0,0,S-H,0,0.664,True,26.3317,28.2334,1.0639,1.078,0.037977,0.035419,-4.040074,-4.130563,-0.7516283835227735,0.5824039634476702,1.5362422210519109,0.3573183252906695,0.21904725839528164
2018_SIN_MARINA_ALO,2018_SIN_MARINA,2018,4,ALO,AST,1,1,0,1,True,False,,25.0,0.0,3,56.083,5.0,0,M-H,1,0.664,True,9.4344,8.5986,1.0639,1.078,0.105995,0.116298,-2.665402,-2.534958,1.1118115767367172,1.0600920072020295,1.1630619249537448,1.4827988325072317,-0.05646518638075973
2018_SIN_MARINA_BOT,2018_SIN_MARINA,2018,4,BOT,HAA,13,13,0,10,True,False,,1.0,1183.317,3,51.729,0.0,0,S-H,1,0.664,True,21.0797,22.3214,1.0639,1.078,0.047439,0.0448,-3.749646,-3.824649,0.7309043957071799,-0.7704364995856657,1.2589806898663964,0.9845684565817145,-0.06679199219364755
2018_SIN_MARINA_GAS,2018_SIN_MARINA,2018,4,GAS,ALP,16,16,0,13,True,False,,0.0,2452.473,3,60.736,0.0,0,S-H,1,0.664,True,20.5749,22.6193,1.0639,1.078,0.048603,0.04421,-3.717814,-3.841993,-0.7200079779719321,0.5955697279889038,1.729363213299949,0.43768862363955763,0.06837983253524732
2018_SIN_MARINA_HAM,2018_SIN_MARINA,2018,4,HAM,MER,15,15,0,14,True,False,,0.0,4051.289,3,64.384,0.0,0,S-M,0,0.664,True,31.4802,34.1787,1.0639,1.078,0.031766,0.029258,-4.271363,-4.377391,-0.8607646454910667,-1.7232201585376228,1.2978934364381607,0.42662201887441586,-0.03354696056882842
2018_SIN_MARINA_HUL,2018_SIN_MARINA,2018,4,HUL,HAA,11,11,0,11,True,False,,0.0,1510.561,4,64.29,0.0,0,M-M,1,0.664,True,20.4771,21.1479,1.0639,1.078,0.048835,0.047286,-3.711552,-3.753881,-1.5266711672511466,-1.3849236170799726,0.9353645413412244,0.9845684565817145,-0.22108999558642478
2018_SIN_MARINA_LAW,2018_SIN_MARINA,2018,4,LAW,SAU,5,5,0,5,True,False,,10.0,316.203,2,44.574,0.0,0,S-H,0,0.664,True,17.825,17.0788,1.0639,1.078,0.056101,0.058552,-3.528578,-3.471873,-1.2790308831298831,-0.45592759769182534,0.606719343115577,1.435066674828265,0.17686275757126863
2018_SIN_MARINA_LEC,2018_SIN_MARINA,2018,4,LEC,FER,17,17,0,15,True,False,,0.0,5806.421,3,47.453,0.0,0,M-M,2,0.664,True,30.0978,33.5053,1.0639,1.078,0.033225,0.029846,-4.213332,-4.351738,0.4664348062956464,0.1826282258498054,0.2939868447060147,1.1234448098816874,0.044415451322418226
2018_SIN_MARINA_MAG,2018_SIN_MARINA,2018,4,MAG,RBM,3,3,0,3,True,False,,15.0,76.784,2,40.208,0.0,0,S-H,1,0.664,True,11.3006,10.5602,1.0639,1.078,0.088491,0.094695,-2.915258,-2.822016,1.1104121382250425,1.0562839809231033,1.1988767989234899,1.3210457317996218,0.0371619882989802
2018_SIN_MARINA_NOR,2018_SIN_MARINA,2018,4,NOR,MCL,19,19,0,16,True,False,,0.0,8306.112,3,66.26,0.0,0,H-H,1,0.664,True,28.6697,32.7225,1.0639,1.078,0.03488,0.03056,-4.150408,-4.321286,0.9538577191053099,0.7632333360513303,0.7487041509620947,0.8674110974166873,-0.27202251684295387
2018_SIN_MARINA_OCO,2018_SIN_MARINA,2018,4,OCO,ALP,18,18,0,17,True,False,,0.0,9210.154,4,73.708,0.0,0,M-H,2,0.664,True,34.7222,39.1389,1.0639,1.078,0.0288,0.02555,-4.397707,-4.551553,-0.8140335388727153,-0.87044806398378,0.9587001607247225,0.43768862363955763,0.15103644725425389
2018_SIN_MARINA_PER,2018_SIN_MARINA,2018,4,PER,RED,9,6,3,20,False,True,crash,0.0,,3,60.049,0.0,0,S-H,0,0.664,True,18.5887,18.7234,1.0639,1.078,0.053796,0.053409,-3.584062,-3.593619,-1.5591033821263363,-1.5456472060276456,1.2685526917967616,1.0276048568811933,0.10899002779740541
2018_SIN_MARINA_PIA,2018_SIN_MARINA,2018,4,PIA,MCL,8,9,0,7,True,False,,6.0,551.617,2,38.394,0.0,0,M-H,0,0.664,True,23.3138,23.1916,1.0639,1.078,0.042893,0.043119,-3.881522,-3.874647,1.560098729560732,1.5968357030861164,1.0119576451712586,0.8674110974166873,0.08539395248204774
2018_SIN_MARINA_RUS,2018_SIN_MARINA,2018,4,RUS,MER,10,10,0,19,False,True,crash,0.0,,3,43.758,0.0,0,H-H,0,0.664,True,24.7439,25.2372,1.0639,1.078,0.040414,0.039624,-3.959162,-3.98486,-1.8619434747756158,-2.311636798038274,1.6397284231570761,0.42662201887441586,-0.005840087692726065
2018_SIN_MARINA_SAI,2018_SIN_MARINA,2018,4,SAI,FER,12,12,0,9,True,False,,2.0,816.745,2,31.548,0.0,0,S-M,0,0.664,True,20.3397,21.2703,1.0639,1.078,0.049165,0.047014,-3.702685,-3.76143,-0.3336452720619799,1.1716303104518286,0.8911851833751278,1.1234448098816874,0.13114052067121043
2018_SIN_MARINA_SAR,2018_SIN_MARINA,2018,4,SAR,SAU,4,4,0,4,True,False,,12.0,243.064,4,67.885,0.0,0,S-M,1,0.664,True,19.015,17.9927,1.0639,1.078,0.05259,0.055578,-3.614013,-3.540985,0.7219670576136946,-0.050658621965757086,0.4982314359696517,1.435066674828265,-0.04766626894788854
2018_SIN_MARINA_STR,2018_SIN_MARINA,2018,4,STR,AST,2,2,0,2,True,False,,18.0,57.755,3,64.534,0.0,0,H-H,0,0.664,True,13.7487,12.6883,1.0639,1.078,0.072734,0.078813,-3.181781,-3.07323,0.4563359967130819,1.0600920072020295,0.8685227924963507,1.4827988325072317,0.09207512149212681
