odds_id,race_id,driver_id,snapshot,decimal_odds,overround,implied_prob
2018_AZE_BAKU_OCO_PRE,2018_AZE_BAKU,OCO,pre,35.8461,1.0635,0.027897
2018_AZE_BAKU_OCO_POST,2018_AZE_BAKU,OCO,post_quali,39.7409,1.0367,0.025163
2018_AZE_BAKU_GAS_PRE,2018_AZE_BAKU,GAS,pre,20.0369,1.0635,0.049908
2018_AZE_BAKU_GAS_POST,2018_AZE_BAKU,GAS,post_quali,21.3959,1.0367,0.046738
2018_AZE_BAKU_ALB_PRE,2018_AZE_BAKU,ALB,pre,25.641,1.0635,0.039
2018_AZE_BAKU_ALB_POST,2018_AZE_BAKU,ALB,post_quali,28.7844,1.0367,0.034741
2018_AZE_BAKU_TSU_PRE,2018_AZE_BAKU,TSU,pre,41.7327,1.0635,0.023962
2018_AZE_BAKU_TSU_POST,2018_AZE_BAKU,TSU,post_quali,48.0354,1.0367,0.020818
2018_AZE_BAKU_HUL_PRE,2018_AZE_BAKU,HUL,pre,22.5372,1.0635,0.044371
2018_AZE_BAKU_HUL_POST,2018_AZE_BAKU,HUL,post_quali,23.7671,1.0367,0.042075
2018_AZE_BAKU_BOT_PRE,2018_AZE_BAKU,BOT,pre,18.3682,1.0635,0.054442
2018_AZE_BAKU_BOT_POST,2018_AZE_BAKU,BOT,post_quali,18.426,1.0367,0.054271
2018_AZE_BAKU_MAG_PRE,2018_AZE_BAKU,MAG,pre,12.0122,1.0635,0.083249
2018_AZE_BAKU_MAG_POST,2018_AZE_BAKU,MAG,post_quali,11.1792,1.0367,0.089452
2018_AZE_BAKU_ZHO_PRE,2018_AZE_BAKU,ZHO,pre,24.7329,1.0635,0.040432
2018_AZE_BAKU_ZHO_POST,2018_AZE_BAKU,ZHO,post_quali,24.5026,1.0367,0.040812
2018_AZE_BAKU_SAR_PRE,2018_AZE_BAKU,SAR,pre,19.2667,1.0635,0.051903
2018_AZE_BAKU_SAR_POST,2018_AZE_BAKU,SAR,post_quali,18.6157,1.0367,0.053718
2018_AZE_BAKU_LAW_PRE,2018_AZE_BAKU,LAW,pre,17.9314,1.0635,0.055768
2018_AZE_BAKU_LAW_POST,2018_AZE_BAKU,LAW,post_quali,16.8979,1.0367,0.059179
2018_SAU_JEDDAH_VER_PRE,2018_SAU_JEDDAH,VER,pre,22.8154,1.0744,0.04383
2018_SAU_JEDDAH_VER_POST,2018_SAU_JEDDAH,VER,post_quali,22.3319,1.0673,0.044779
2018_SAU_JEDDAH_PER_PRE,2018_SAU_JEDDAH,PER,pre,15.138,1.0744,0.066059
2018_SAU_JEDDAH_PER_POST,2018_SAU_JEDDAH,PER,post_quali,15.192,1.0673,0.065824
2018_SAU_JEDDAH_HAM_PRE,2018_SAU_JEDDAH,HAM,pre,28.3551,1.0744,0.035267
2018_SAU_JEDDAH_HAM_POST,2018_SAU_JEDDAH,HAM,post_quali,31.8441,1.0673,0.031403
2018_SAU_JEDDAH_RUS_PRE,2018_SAU_JEDDAH,RUS,pre,20.8625,1.0744,0.047933
2018_SAU_JEDDAH_RUS_POST,2018_SAU_JEDDAH,RUS,post_quali,22.5678,1.0673,0.044311
2018_SAU_JEDDAH_LEC_PRE,2018_SAU_JEDDAH,LEC,pre,32.7139,1.0744,0.030568
2018_SAU_JEDDAH_LEC_POST,2018_SAU_JEDDAH,LEC,post_quali,37.2024,1.0673,0.02688
2018_SAU_JEDDAH_SAI_PRE,2018_SAU_JEDDAH,SAI,pre,21.4371,1.0744,0.046648
2018_SAU_JEDDAH_SAI_POST,2018_SAU_JEDDAH,SAI,post_quali,20.2102,1.0673,0.04948
2018_SAU_JEDDAH_NOR_PRE,2018_SAU_JEDDAH,NOR,pre,26.6574,1.0744,0.037513
2018_SAU_JEDDAH_NOR_POST,2018_SAU_JEDDAH,NOR,post_quali,29.1988,1.0673,0.034248
2018_SAU_JEDDAH_PIA_PRE,2018_SAU_JEDDAH,PIA,pre,23.515,1.0744,0.042526
2018_SAU_JEDDAH_PIA_POST,2018_SAU_JEDDAH,PIA,post_quali,23.3062,1.0673,0.042907
2018_SAU_JEDDAH_ALO_PRE,2018_SAU_JEDDAH,ALO,pre,12.4561,1.0744,0.080282
2018_SAU_JEDDAH_ALO_POST,2018_SAU_JEDDAH,ALO,post_quali,11.3109,1.0673,0.08841
2018_SAU_JEDDAH_STR_PRE,2018_SAU_JEDDAH,STR,pre,13.0075,1.0744,0.076879
2018_SAU_JEDDAH_STR_POST,2018_SAU_JEDDAH,STR,post_quali,11.9601,1.0673,0.083611
2018_SAU_JEDDAH_OCO_PRE,2018_SAU_JEDDAH,OCO,pre,26.4508,1.0744,0.037806
2018_SAU_JEDDAH_OCO_POST,2018_SAU_JEDDAH,OCO,post_quali,27.5596,1.0673,0.036285
2018_SAU_JEDDAH_GAS_PRE,2018_SAU_JEDDAH,GAS,pre,18.7564,1.0744,0.053315
2018_SAU_JEDDAH_GAS_POST,2018_SAU_JEDDAH,GAS,post_quali,19.0603,1.0673,0.052465
2018_SAU_JEDDAH_ALB_PRE,2018_SAU_JEDDAH,ALB,pre,30.0607,1.0744,0.033266
2018_SAU_JEDDAH_ALB_POST,2018_SAU_JEDDAH,ALB,post_quali,33.34,1.0673,0.029994
2018_SAU_JEDDAH_TSU_PRE,2018_SAU_JEDDAH,TSU,pre,47.3844,1.0744,0.021104
2018_SAU_JEDDAH_TSU_POST,2018_SAU_JEDDAH,TSU,post_quali,54.5613,1.0673,0.018328
2018_SAU_JEDDAH_HUL_PRE,2018_SAU_JEDDAH,HUL,pre,20.4591,1.0744,0.048878
2018_SAU_JEDDAH_HUL_POST,2018_SAU_JEDDAH,HUL,post_quali,21.856,1.0673,0.045754
2018_SAU_JEDDAH_BOT_PRE,2018_SAU_JEDDAH,BOT,pre,17.5079,1.0744,0.057117
2018_SAU_JEDDAH_BOT_POST,2018_SAU_JEDDAH,BOT,post_quali,16.9236,1.0673,0.059089
2018_SAU_JEDDAH_MAG_PRE,2018_SAU_JEDDAH,MAG,pre,11.8926,1.0744,0.084086
2018_SAU_JEDDAH_MAG_POST,2018_SAU_JEDDAH,MAG,post_quali,11.0727,1.0673,0.090312
2018_SAU_JEDDAH_ZHO_PRE,2018_SAU_JEDDAH,ZHO,pre,17.5442,1.0744,0.056999
2018_SAU_JEDDAH_ZHO_POST,2018_SAU_JEDDAH,ZHO,post_quali,18.0525,1.0673,0.055394
2018_SAU_JEDDAH_SAR_PRE,2018_SAU_JEDDAH,SAR,pre,24.0419,1.0744,0.041594
2018_SAU_JEDDAH_SAR_POST,2018_SAU_JEDDAH,SAR,post_quali,25.3646,1.0673,0.039425
2018_SAU_JEDDAH_LAW_PRE,2018_SAU_JEDDAH,LAW,pre,17.1441,1.0744,0.058329
2018_SAU_JEDDAH_LAW_POST,2018_SAU_JEDDAH,LAW,post_quali,16.3663,1.0673,0.061101
2018_SIN_MARINA_VER_PRE,2018_SIN_MARINA,VER,pre,21.1788,1.0639,0.047217
2018_SIN_MARINA_VER_POST,2018_SIN_MARINA,VER,post_quali,20.806,1.078,0.048063
2018_SIN_MARINA_PER_PRE,2018_SIN_MARINA,PER,pre,18.5887,1.0639,0.053796
2018_SIN_MARINA_PER_POST,2018_SIN_MARINA,PER,post_quali,18.7234,1.078,0.053409
2018_SIN_MARINA_HAM_PRE,2018_SIN_MARINA,HAM,pre,31.4802,1.0639,0.031766
2018_SIN_MARINA_HAM_POST,2018_SIN_MARINA,HAM,post_quali,34.1787,1.078,0.029258
2018_SIN_MARINA_RUS_PRE,2018_SIN_MARINA,RUS,pre,24.7439,1.0639,0.040414
2018_SIN_MARINA_RUS_POST,2018_SIN_MARINA,RUS,post_quali,25.2372,1.078,0.039624
2018_SIN_MARINA_LEC_PRE,2018_SIN_MARINA,LEC,pre,30.0978,1.0639,0.033225
2018_SIN_MARINA_LEC_POST,2018_SIN_MARINA,LEC,post_quali,33.5053,1.078,0.029846
2018_SIN_MARINA_SAI_PRE,2018_SIN_MARINA,SAI,pre,20.3397,1.0639,0.049165
2018_SIN_MARINA_SAI_POST,2018_SIN_MARINA,SAI,post_quali,21.2703,1.078,0.047014
2018_SIN_MARINA_NOR_PRE,2018_SIN_MARINA,NOR,pre,28.6697,1.0639,0.03488
2018_SIN_MARINA_NOR_POST,2018_SIN_MARINA,NOR,post_quali,32.7225,1.078,0.03056
2018_SIN_MARINA_PIA_PRE,2018_SIN_MARINA,PIA,pre,23.3138,1.0639,0.042893
2018_SIN_MARINA_PIA_POST,2018_SIN_MARINA,PIA,post_quali,23.1916,1.078,0.043119
2018_SIN_MARINA_ALO_PRE,2018_SIN_MARINA,ALO,pre,9.4344,1.0639,0.105995
2018_SIN_MARINA_ALO_POST,2018_SIN_MARINA,ALO,post_quali,8.5986,1.078,0.116298
2018_SIN_MARINA_STR_PRE,2018_SIN_MARINA,STR,pre,13.7487,1.0639,0.072734
2018_SIN_MARINA_STR_POST,2018_SIN_MARINA,STR,post_quali,12.6883,1.078,0.078813
2018_SIN_MARINA_OCO_PRE,2018_SIN_MARINA,OCO,pre,34.7222,1.0639,0.0288
2018_SIN_MARINA_OCO_POST,2018_SIN_MARINA,OCO,post_quali,39.1389,1.078,0.02555
2018_SIN_MARINA_GAS_PRE,2018_SIN_MARINA,GAS,pre,20.5749,1.0639,0.048603
2018_SIN_MARINA_GAS_POST,2018_SIN_MARINA,GAS,post_quali,22.6193,1.078,0.04421
2018_SIN_MARINA_ALB_PRE,2018_SIN_MARINA,ALB,pre,26.3317,1.0639,0.037977
2018_SIN_MARINA_ALB_POST,2018_SIN_MARINA,ALB,post_quali,28.2334,1.078,0.035419
2018_SIN_MARINA_TSU_PRE,2018_SIN_MARINA,TSU,pre,45.9284,1.0639,0.021773
2018_SIN_MARINA_TSU_POST,2018_SIN_MARINA,TSU,post_quali,53.0786,1.078,0.01884
2018_SIN_MARINA_HUL_PRE,2018_SIN_MARINA,HUL,pre,20.4771,1.0639,0.048835
2018_SIN_MARINA_HUL_POST,2018_SIN_MARINA,HUL,post_quali,21.1479,1.078,0.047286
2018_SIN_MARINA_BOT_PRE,2018_SIN_MARINA,BOT,pre,21.0797,1.0639,0.047439
2018_SIN_MARINA_BOT_POST,2018_SIN_MARINA,BOT,post_quali,22.3214,1.078,0.0448
2018_SIN_MARINA_MAG_PRE,2018_SIN_MARINA,MAG,pre,11.3006,1.0639,0.088491
2018_SIN_MARINA_MAG_POST,2018_SIN_MARINA,MAG,post_quali,10.5602,1.078,0.094695
2018_SIN_MARINA_ZHO_PRE,2018_SIN_MARINA,ZHO,pre,17.4499,1.0639,0.057307
2018_SIN_MARINA_ZHO_POST,2018_SIN_MARINA,ZHO,post_quali,16.9296,1.078,0.059068
2018_SIN_MARINA_SAR_PRE,2018_SIN_MARINA,SAR,pre,19.015,1.0639,0.05259
2018_SIN_MARINA_SAR_POST,2018_SIN_MARINA,SAR,post_quali,17.9927,1.078,0.055578
2018_SIN_MARINA_LAW_PRE,2018_SIN_MARINA,LAW,pre,17.825,1.0639,0.056101
2018_SIN_MARINA_LAW_POST,2018_SIN_MARINA,LAW,post_quali,17.0788,1.078,0.058552
2018_SPA_CATALU_VER_PRE,2018_SPA_CATALU,VER,pre,19.088,1.0876,0.052389
2018_SPA_CATALU_VER_POST,2018_SPA_CATALU,VER,post_quali,18.8986,1.0763,0.052914
2018_SPA_CATALU_PER_PRE,2018_SPA_CATALU,PER,pre,17.9318,1.0876,0.055767
2018_SPA_CATALU_PER_POST,2018_SPA_CATALU,PER,post_quali,16.8882,1.0763,0.059213
2018_SPA_CATALU_HAM_PRE,2018_SPA_CATALU,HAM,pre,25.3171,1.0876,0.039499
2018_SPA_CATALU_HAM_POST,2018_SPA_CATALU,HAM,post_quali,28.4034,1.0763,0.035207
2018_SPA_CATALU_RUS_PRE,2018_SPA_CATALU,RUS,pre,17.0981,1.0876,0.058486
2018_SPA_CATALU_RUS_POST,2018_SPA_CATALU,RUS,post_quali,17.7968,1.0763,0.05619
2018_SPA_CATALU_LEC_PRE,2018_SPA_CATALU,LEC,pre,33.6361,1.0876,0.02973
2018_SPA_CATALU_LEC_POST,2018_SPA_CATALU,LEC,post_quali,36.8053,1.0763,0.02717
2018_SPA_CATALU_SAI_PRE,2018_SPA_CATALU,SAI,pre,20.2939,1.0876,0.049276
2018_SPA_CATALU_SAI_POST,2018_SPA_CATALU,SAI,post_quali,21.3885,1.0763,0.046754
2018_SPA_CATALU_NOR_PRE,2018_SPA_CATALU,NOR,pre,28.547,1.0876,0.03503
2018_SPA_CATALU_NOR_POST,2018_SPA_CATALU,NOR,post_quali,32.4296,1.0763,0.030836
2018_SPA_CATALU_PIA_PRE,2018_SPA_CATALU,PIA,pre,28.1112,1.0876,0.035573
2018_SPA_CATALU_PIA_POST,2018_SPA_CATALU,PIA,post_quali,28.8959,1.0763,0.034607
2018_SPA_CATALU_ALO_PRE,2018_SPA_CATALU,ALO,pre,12.8305,1.0876,0.077939
2018_SPA_CATALU_ALO_POST,2018_SPA_CATALU,ALO,post_quali,11.639,1.0763,0.085918
2018_SPA_CATALU_STR_PRE,2018_SPA_CATALU,STR,pre,15.5528,1.0876,0.064297
2018_SPA_CATALU_STR_POST,2018_SPA_CATALU,STR,post_quali,14.2859,1.0763,0.069999
2018_SPA_CATALU_OCO_PRE,2018_SPA_CATALU,OCO,pre,33.012,1.0876,0.030292
2018_SPA_CATALU_OCO_POST,2018_SPA_CATALU,OCO,post_quali,36.5764,1.0763,0.02734
2018_SPA_CATALU_GAS_PRE,2018_SPA_CATALU,GAS,pre,23.6485,1.0876,0.042286
2018_SPA_CATALU_GAS_POST,2018_SPA_CATALU,GAS,post_quali,25.2379,1.0763,0.039623
2018_SPA_CATALU_ALB_PRE,2018_SPA_CATALU,ALB,pre,30.1405,1.0876,0.033178
2018_SPA_CATALU_ALB_POST,2018_SPA_CATALU,ALB,post_quali,30.5969,1.0763,0.032683
2018_SPA_CATALU_TSU_PRE,2018_SPA_CATALU,TSU,pre,48.3559,1.0876,0.02068
2018_SPA_CATALU_TSU_POST,2018_SPA_CATALU,TSU,post_quali,55.6235,1.0763,0.017978
2018_SPA_CATALU_HUL_PRE,2018_SPA_CATALU,HUL,pre,18.8087,1.0876,0.053167
2018_SPA_CATALU_HUL_POST,2018_SPA_CATALU,HUL,post_quali,18.8565,1.0763,0.053032
2018_SPA_CATALU_BOT_PRE,2018_SPA_CATALU,BOT,pre,17.2759,1.0876,0.057884
2018_SPA_CATALU_BOT_POST,2018_SPA_CATALU,BOT,post_quali,18.6686,1.0763,0.053566
2018_SPA_CATALU_MAG_PRE,2018_SPA_CATALU,MAG,pre,12.9169,1.0876,0.077418
2018_SPA_CATALU_MAG_POST,2018_SPA_CATALU,MAG,post_quali,12.014,1.0763,0.083236
2018_SPA_CATALU_ZHO_PRE,2018_SPA_CATALU,ZHO,pre,17.6295,1.0876,0.056723
2018_SPA_CATALU_ZHO_POST,2018_SPA_CATALU,ZHO,post_quali,17.2381,1.0763,0.058011
2018_SPA_CATALU_SAR_PRE,2018_SPA_CATALU,SAR,pre,18.6867,1.0876,0.053514
2018_SPA_CATALU_SAR_POST,2018_SPA_CATALU,SAR,post_quali,17.8205,1.0763,0.056115
2018_SPA_CATALU_LAW_PRE,2018_SPA_CATALU,LAW,pre,13.0085,1.0876,0.076873
2018_SPA_CATALU_LAW_POST,2018_SPA_CATALU,LAW,post_quali,12.5614,1.0763,0.079609
2018_USA_LAS VE_VER_PRE,2018_USA_LAS VE,VER,pre,17.2685,1.0606,0.057909
2018_USA_LAS VE_VER_POST,2018_USA_LAS VE,VER,post_quali,16.0917,1.0657,0.062144
2018_USA_LAS VE_PER_PRE,2018_USA_LAS VE,PER,pre,16.0971,1.0606,0.062123
2018_USA_LAS VE_PER_POST,2018_USA_LAS VE,PER,post_quali,15.5734,1.0657,0.064212
2018_USA_LAS VE_HAM_PRE,2018_USA_LAS VE,HAM,pre,30.422,1.0606,0.032871
2018_USA_LAS VE_HAM_POST,2018_USA_LAS VE,HAM,post_quali,35.0607,1.0657,0.028522
2018_USA_LAS VE_RUS_PRE,2018_USA_LAS VE,RUS,pre,18.5615,1.0606,0.053875
2018_USA_LAS VE_RUS_POST,2018_USA_LAS VE,RUS,post_quali,17.5144,1.0657,0.057096
2018_USA_LAS VE_LEC_PRE,2018_USA_LAS VE,LEC,pre,33.9893,1.0606,0.029421
2018_USA_LAS VE_LEC_POST,2018_USA_LAS VE,LEC,post_quali,37.7302,1.0657,0.026504
2018_USA_LAS VE_SAI_PRE,2018_USA_LAS VE,SAI,pre,20.9196,1.0606,0.047802
2018_USA_LAS VE_SAI_POST,2018_USA_LAS VE,SAI,post_quali,21.0124,1.0657,0.047591
2018_USA_LAS VE_NOR_PRE,2018_USA_LAS VE,NOR,pre,26.8723,1.0606,0.037213
2018_USA_LAS VE_NOR_POST,2018_USA_LAS VE,NOR,post_quali,29.0934,1.0657,0.034372
2018_USA_LAS VE_PIA_PRE,2018_USA_LAS VE,PIA,pre,27.2398,1.0606,0.036711
2018_USA_LAS VE_PIA_POST,2018_USA_LAS VE,PIA,post_quali,30.6176,1.0657,0.032661
2018_USA_LAS VE_ALO_PRE,2018_USA_LAS VE,ALO,pre,11.8336,1.0606,0.084505
2018_USA_LAS VE_ALO_POST,2018_USA_LAS VE,ALO,post_quali,10.7549,1.0657,0.092981
2018_USA_LAS VE_STR_PRE,2018_USA_LAS VE,STR,pre,17.3732,1.0606,0.05756
2018_USA_LAS VE_STR_POST,2018_USA_LAS VE,STR,post_quali,17.0192,1.0657,0.058757
2018_USA_LAS VE_OCO_PRE,2018_USA_LAS VE,OCO,pre,33.627,1.0606,0.029738
2018_USA_LAS VE_OCO_POST,2018_USA_LAS VE,OCO,post_quali,36.8636,1.0657,0.027127
2018_USA_LAS VE_GAS_PRE,2018_USA_LAS VE,GAS,pre,23.238,1.0606,0.043033
2018_USA_LAS VE_GAS_POST,2018_USA_LAS VE,GAS,post_quali,24.233,1.0657,0.041266
2018_USA_LAS VE_ALB_PRE,2018_USA_LAS VE,ALB,pre,27.6572,1.0606,0.036157
2018_USA_LAS VE_ALB_POST,2018_USA_LAS VE,ALB,post_quali,29.5709,1.0657,0.033817
2018_USA_LAS VE_TSU_PRE,2018_USA_LAS VE,TSU,pre,59.1961,1.0606,0.016893
2018_USA_LAS VE_TSU_POST,2018_USA_LAS VE,TSU,post_quali,67.3764,1.0657,0.014842
2018_USA_LAS VE_HUL_PRE,2018_USA_LAS VE,HUL,pre,18.9147,1.0606,0.052869
2018_USA_LAS VE_HUL_POST,2018_USA_LAS VE,HUL,post_quali,18.0721,1.0657,0.055334
2018_USA_LAS VE_BOT_PRE,2018_USA_LAS VE,BOT,pre,16.9288,1.0606,0.059071
2018_USA_LAS VE_BOT_POST,2018_USA_LAS VE,BOT,post_quali,17.8757,1.0657,0.055942
2018_USA_LAS VE_MAG_PRE,2018_USA_LAS VE,MAG,pre,13.0774,1.0606,0.076468
2018_USA_LAS VE_MAG_POST,2018_USA_LAS VE,MAG,post_quali,12.9722,1.0657,0.077088
2018_USA_LAS VE_ZHO_PRE,2018_USA_LAS VE,ZHO,pre,20.4742,1.0606,0.048842
2018_USA_LAS VE_ZHO_POST,2018_USA_LAS VE,ZHO,post_quali,21.0855,1.0657,0.047426
2018_USA_LAS VE_SAR_PRE,2018_USA_LAS VE,SAR,pre,15.9507,1.0606,0.062693
2018_USA_LAS VE_SAR_POST,2018_USA_LAS VE,SAR,post_quali,16.223,1.0657,0.061641
2018_USA_LAS VE_LAW_PRE,2018_USA_LAS VE,LAW,pre,13.4689,1.0606,0.074245
2018_USA_LAS VE_LAW_POST,2018_USA_LAS VE,LAW,post_quali,12.3951,1.0657,0.080677
2018_USA_AUSTIN_VER_PRE,2018_USA_AUSTIN,VER,pre,16.5857,1.1078,0.060293
2018_USA_AUSTIN_VER_POST,2018_USA_AUSTIN,VER,post_quali,15.2842,1.0674,0.065427
2018_USA_AUSTIN_PER_PRE,2018_USA_AUSTIN,PER,pre,14.1647,1.1078,0.070598
2018_USA_AUSTIN_PER_POST,2018_USA_AUSTIN,PER,post_quali,13.2174,1.0674,0.075658
2018_USA_AUSTIN_HAM_PRE,2018_USA_AUSTIN,HAM,pre,26.6156,1.1078,0.037572
2018_USA_AUSTIN_HAM_POST,2018_USA_AUSTIN,HAM,post_quali,29.5858,1.0674,0.0338
2018_USA_AUSTIN_RUS_PRE,2018_USA_AUSTIN,RUS,pre,16.7378,1.1078,0.059745
2018_USA_AUSTIN_RUS_POST,2018_USA_AUSTIN,RUS,post_quali,16.6257,1.0674,0.060148
2018_USA_AUSTIN_LEC_PRE,2018_USA_AUSTIN,LEC,pre,28.701,1.1078,0.034842
2018_USA_AUSTIN_LEC_POST,2018_USA_AUSTIN,LEC,post_quali,31.507,1.0674,0.031739
2018_USA_AUSTIN_SAI_PRE,2018_USA_AUSTIN,SAI,pre,18.8829,1.1078,0.052958
2018_USA_AUSTIN_SAI_POST,2018_USA_AUSTIN,SAI,post_quali,19.9661,1.0674,0.050085
2018_USA_AUSTIN_NOR_PRE,2018_USA_AUSTIN,NOR,pre,40.4106,1.1078,0.024746
2018_USA_AUSTIN_NOR_POST,2018_USA_AUSTIN,NOR,post_quali,45.4856,1.0674,0.021985
